Date,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cabo Verde,Cameroon,Canada,Chile,China,Colombia,Congo (Brazzaville),Congo (Kinshasa),Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czechia,Denmark,Diamond Princess,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Eswatini,Ethiopia,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Guyana,Haiti,Honduras,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,South Korea,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,MS Zaandam,Malawi,Malaysia,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Monaco,Montenegro,Morocco,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,San Marino,Saudi Arabia,Senegal,Serbia,Singapore,Slovenia,Somalia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan*,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,US,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Uzbekistan,Venezuela,West Bank and Gaza,Zambia,Zimbabwe
2020-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03391079837143913,,,,,,,,,,,0.1272894937305896,,,,,,,,,,0.11565427610880508,,,,,,,,,,,,,,,0.39789578389092467,,,,0.6437518295172258,,0.1725907947007581,,,0.4899744748891221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028106962130655205,,,,,,,,,,,0.14156206790821993,,,,,,,,,,0.13768366203429175,,,,,,,,,,,,,,,0.374698343704504,,,,0.5512437912122297,,0.27053553874884884,,,0.37042364843993747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02428329144379082,,,,,,,,,,,0.1463195926340967,,,,,,,,,,0.14502679067612065,,,,,,,,,,,,,,,0.3336993573009119,,,,0.4519393638050581,,0.323257703660986,,,0.22878577425555524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2020-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01911625147650542,,,,,,,,,,,0.14790543420938895,,,,,,,,,,0.14747450022339695,,,,,,,,,,,,,,,0.2999731185351215,,,,0.35268298233366346,,0.37798548207581883,,,0.16314857173038969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2020-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016095924923976896,,,,,,,,,,,0.1270251868013742,,,,,,,,,,0.12688154213937686,,,,,,,,,,,,,,,0.2860650023476674,,,,0.3235975727098868,,0.3515618342655306,,,0.1532582034037375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014807604234454028,,,,,,,,,,,0.09865624306559044,,,,,,,,,,0.12001722277803684,,,,,,,,,,,,,,,0.2704608801278938,,,,0.34135849899946485,,0.2272548483595822,,,0.16792445019814695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014167941440045365,,,,,,,,,,,0.06104267142109634,,,,,,,,,,0.13913797759070234,,,,,,,,,,,,,,,0.24442252034169387,,,,0.3619937705404628,,0.13206613025165978,,,0.18427824786234873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01329343359181677,,,,,,,,,,,0.020347557140365447,,,,,,,,,,0.17785575740108495,,,,,,,,,,,,,,,0.22157132514904423,,,,0.37744405571121487,,0.08455839692866884,,,0.19093642177226633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012413004068533772,,,,,,,,,,,0.006782519046788483,,,,,,,,,,0.25818224517907196,,,,,,,,,,,,,,,0.2008186180682815,,,,0.3946157816082396,,0.040565228755105674,,,0.18623090167374776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.6437518295172258,,,,,,,,,
2020-03-06,,,,,,,,,0.1486983549970351,,,,,,,,,,,,,,,,,,,,,,,,0.01157668834749201,,,,,,,,,,,0.0022608396822628276,,,,,,,,,,0.3019621332697812,,,,,,,,,,,,,,,0.18406010736180953,,,,0.3884767488753469,,0.013521742918368558,,,0.15970818347729066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.5235137533867407,,,,,,,,,
2020-03-07,,,,,,,,,0.18104254986986254,,,,,,,,,,,,,,,,,,,,,,,,0.010789119715122891,,,,,,,,,,,0.0007536132274209425,,,,,,,,,,0.3214513629009479,,,,,,,,,,,,,,,0.1858442718644615,,,,0.36570929646116385,,0.004507247639456186,,,0.1257573582524231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.3336053068576063,,,,,,,,,
2020-03-08,,,,,,,,,0.1704150868943595,,,,,,,,,,,,,,,,,,,,,,,,0.010059508540321902,,,,,,,,,,,0.0002512044091403142,,,,,,,,,,0.35091568051591876,,,,,,,,,,,,,,,0.19906099754056616,,,,0.3549908495229821,,0.03735786362924875,,,0.11174735750324138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.762340347832317,,,,,,,0.0,,0.0,,,,,0.24267820049005295,,,,,,,,,
2020-03-09,,,,,,,,,0.11311954309658552,,,,,,,,,,,,,,,,,,,,,,,,0.009122696395914344,,,,,,,,,,,8.37348030467714e-05,,,,,,,,,,0.37428196940898606,,,,,,,,,,,,,,,0.20964425127231082,0.2457309396155174,,,0.34395295242022267,,0.08416351670860962,,,0.09629202838026348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.04956611833234503,,,,,,,,0.6973584116519994,,,,,,,0.0,,0.0,,,,,0.1920136693431107,,,,,,,,,
